n,contrast,frequency,trial,method,rho,alpha,bound,actual_radius,oracle_radius,relative_radius_gap,envelope_gap,selection_seconds,certificate_valid,collapsed
5,4.0,3,0,comparison_rectangle,0.6475246146847,1.9322726844702,0.7227722640127581,0.4374336700690741,0.3346545998905397,0.3071198489790722,0.6523013966863294,0.12516698986291885,True,False
5,16.0,0,0,local_predictor,0.4661767115051,1.9014572329094,0.5310165109882747,0.5404171073982331,0.5233221200132863,0.03266628092180175,-0.017395075546768522,0.004990933462977409,False,False
5,16.0,0,0,block_resolvent,0.01,1e-06,1.0000000383650414,0.9999999929518677,0.5233221200132863,0.9108689556758645,4.541317398609822e-08,0.5987289678305387,True,True
5,16.0,0,0,block_gershgorin,1.2689917887439,1.996637999405,0.799617283130379,0.7890862210589411,0.5233221200132863,0.5078403738005716,0.013345895277838497,1.823039649054408,True,False
5,16.0,0,0,commutator_rectangle,1.2689917887439,1.996637999405,0.8400751650762452,0.7890862210589411,0.5233221200132863,0.5078403738005716,0.06461770926487322,0.0942760519683361,True,False
5,16.0,0,0,comparison_rectangle,1.2689917887439,2.0,0.8108825252463707,0.7887310779381049,0.5233221200132863,0.5071617418313608,0.028084917569336745,0.1333636026829481,True,False
5,16.0,1,0,local_predictor,3.5085022210824,1.5815455612809,0.09022106453928247,0.8295979422275807,0.2590461171708337,2.202510623544625,-0.8912472416493381,0.00553041510283947,False,False
5,16.0,1,0,block_resolvent,7.9559718652565,1e-06,1.0000000013836243,0.9999999494314465,0.2590461171708337,2.8603163033398196,5.195218040912419e-08,0.8661879282444715,True,True
5,16.0,1,0,block_gershgorin,0.8919625477147,1.9967167093286,0.761492947424601,0.36450915575534354,0.2590461171708337,0.40712070783504506,1.0890914134834813,1.3879737220704556,True,False
5,16.0,1,0,commutator_rectangle,0.8919625477147,1.8428287683361,0.8346697697304747,0.41348674836199817,0.2590461171708337,0.596189716633796,1.0186131067971746,0.043556857854127884,True,False
5,16.0,1,0,comparison_rectangle,0.8919625477147,2.0,0.6954552103029038,0.3634641897113769,0.2590461171708337,0.4030868081750956,0.9134077853863884,0.12920178286731243,True,False
5,16.0,3,0,local_predictor,3.4797780895595,1.5774613898646,0.09470102161774435,0.8843603388695539,0.3800847643925731,1.3267450361576092,-0.8929157974917812,0.005235886201262474,False,False
5,16.0,3,0,block_resolvent,7.8262339393843,1e-06,1.0000000085326624,0.9999999660418932,0.3800847643925731,1.6309919779079505,4.249077056834227e-08,0.5402992554008961,True,True
5,16.0,3,0,block_gershgorin,0.884660044276,1.9969028589058,0.7604992412891494,0.5211748694131703,0.3800847643925731,0.3712069470768665,0.45920167283862384,1.1689768452197313,True,False
5,16.0,3,0,commutator_rectangle,0.884660044276,2.0,0.8039718694315141,0.5204322248812816,0.3800847643925731,0.36925305520467977,0.5448156954825619,0.059608981013298035,True,False
5,16.0,3,0,comparison_rectangle,0.884660044276,2.0,0.7318405633351204,0.5204322248812816,0.3800847643925731,0.36925305520467977,0.4062168488933678,0.08247256651520729,True,False
